review,sentiment
"I am a longtime fan of the original of this movie (Bella Martha/Mostly Martha), and everything that makes that movie great and enjoyable to watch is missing from this one. I miss the slow pace, the build-up of characters and their style in small gestures, the dominance of lights and moods and moves over dialog. I don't think that the story itself is enough. Martha/Kate is more secluded, and Mario/Nick is not a clown. In most of the cases the things that makes one scene great in the original, its is not working in its copy here. The small alterations take away the tension. My opinion is that you should go and see the original. It'll worth the inconvenience of subtitles.",negative
"I highly reccommend this movie. It blurs the line between childhood fantasy and everyday reality in such a seamless fashion that it has to be seen to be believed. The actors and director have such perfect timing that in one scene a name calling fight becomes a sort of dance. I loved the story line, the actors, everything. While I do think there were one or two decidedly cheesy scenes, over-all the movie was impeccably done.",positive
"1st watched 5/17/2002 - 3 out of 10(Dir-Ewald Andre Dupont): Fairly lame account of the Titanic disaster is the first filmed version of this much-heralded event. The replication of the disaster is not bad, but the drama around it is at some times silly, badly acted and way-too soap opera-like. The story is very much the same as the most recent Oscar-winning one except that we are shown how the crew tried to hide the actual disaster that was occurring until almost too late. Good for nostalgia purposes only and to get a feel for what James Cameron was competing against(barely) in his recreation.",negative
"I still can't believe that Wes Craven was responsible for this piece of crap.This movie is worse than ""Deadly Friend"".The plot is stupid,the acting is mediocre and the film is deadly dull.I don't know why Wes Craven hates his debut ""Last House on the Left""-an absolute masterpiece of the genre and likes(probably)this turkey.Don't get me wrong,I really like some of his movies,but it was a real torture sitting and watching this.",negative
"This is a great example of a good, dumb movie. No, it is not high art by any means. Nor is the script anywhere close to a Woody Allen or Mel Brooks. BUT SO WHAT! The Killer Tomatoes series (four movies and a cartoon series) are basically good-natured romps gleefully trampling on the kind of territory the Zuckers ruled before they switched to making serious flicks.<br /><br />As the title suggests, this fourth installment of the Killer Tomatoes trilogy deals with the Killer Tomatoes plot against France. In this case, Professor Gangrene (John Astin's 3rd time in the role) has a plan to rule France through an ancient prophecy about the return of the rightful King of France. Steve Lundquist returns as Igor, a humanoid tomato who wants to be a sportscaster and who just happens to be a dead ringer for the long-lost true King of France. Obviously he also plays the aforementioned l-l t K of F, happily skewering the French language.<br /><br />Opposing them is the fearless Fuzzy Tomato (like the others, FT was introduced in the second film and would be a main character in the cartoon) and his human allies. Mark Price, recently unemployed as a result of the conclusion of the FAMILY TIES series, plays a thinly disguised version of himself, passing himself as ""Michael J Fox"" as a way to win the girl of his dreams. And Angela Visser is a dream as Marie, gleefully bouncing between unabashed virginal sexuality and borderline psychosis. Oh that the former Miss Netherlands had had more of a film career! Another returning member of the Killer Tomatoes stock company is Rick Rockwell (now best known as the hapless title subject of ""Who Wants to Marry a Millionaire?""). Like co-creator John De Bello, Rockwell works both in front of and behind the camera in this series.<br /><br />What can you say about Jon De Bello? Not much, really, except that he had a singular vision and managed to pull it off and, having done that, has apparently dropped into obscurity. John, if you ever see this, thanks for giving us the Killer Tomatoes.<br /><br />The script is heavily but not obnoxiously aware that this is just a movie. Like RETURN OF THE KILLER TOMATOES, the action occasionally veers off the set and into the middle of the film crew. And Mark Price has a funny forum to complain about his own lack of success compared to his former costar Michael J Fox. This is the biggest budgeted of all the Killer Tomatoes flicks and is a nice send-off to the series. Okay, the show then moved to Fox Kids as a cartoon series (which was also quite clever), but cartoons just aren't the same.",positive
"Probably the most accurate Stephen King adaption yet. Not surprising, since King himself wrote the screenplay. The story follows the Creed family moving into a beautiful Maine house. One of the other residents is Jud, a pleasant old man who knows a few things about the area. One is the highway that runs right through their frontyard. The other is a path leading to the Pet Sematary, where children for decades have buried the animals killed by the highway. Soon enough, Ellie Creed's cat, Church, is found dead. Luckily, this happens while the family, with the exception of Louis(the father), is away for Thanksgiving. Jud takes Louis to another burial ground, beyond the Pet Sematary, where Church is to be buried. Later, Louis is greeted(not so politely) by Church. He's returned, appearing to have chewed his way out of the bag he had been buried in. Maybe he was buried alive. Maybe not. Nothing more I can say without ruining the story.<br /><br />Of all the King adaptions I've seen this would be the most terrifying. The characters are real and the situations are normal. Mary Lambert does a great job directing the proceedings. Suspense is kept fairly high throughout the film, due in part to the plot development. The scene where Gage is killed will stick in your mind forever. Then, of course, we have the conclusion. Easy to determine what's going to happen, but Lambert pulls off some genuinely scary, and sometimes disturbing, moments.<br /><br />Overall, this is a good film and an excellent adaption. If you enjoy being scared and don't mind being haunted by some occasionally disturbing images then ""Pet Sematary"" is just what you're looking for. Non Horror fans will want to avoid this.",positive
"The film disappointed me for many reasons: first of all the depiction of a future which seemed at first realistic to me was well-built but did only feature a marginal role. Then, the story itself was a weak copy of Lost in Translation. The Middle-Eastern setting, man with family meets new girl overseas, karaoke bar, the camera movements and the imagery - all that was a very bad imitation of the excellent Lost in Translation which had also credibility. This movie tries to be something brilliant and cultural: it is not. I wonder why Tim Robbins even considered doing this film!? The female main actress is awful - did she play the precog in Minority Report? And why do you have to show the vagina in a movie like this? Lost in Translation didn't have to show excessive love scenes. R-Rated just for this? This movie isn't even worth watching it from a videostore!",negative
"The quality you're likely to remember after viewing The Big Knife is how claustrophobic it is. It's pacing is sacrificed to a uniform texture of dialog. It's talky in the extreme. Modern viewers will feel every point has been made (and then some) but the movie will still not move on, or do the viewer a favor and change the scenery. It's very inert. At the 45 min mark I was sure I had watched two very slow hours. My beleaguered response was, ""Good God, where is this going?"" It feels like Odets was paid by the word...<br /><br />This is a good place to note the decline of drama from it's high point in the 40s through the conceit-laden projects of the 50s and 60s until actual filmic merit was rediscovered in the 70s, only to vanish again. Here we get show-offy, conventional, emotional outbursts from Steiger, Lupino et al. and camera moves pre-arranged to meet over-practiced blocking. This is due to the rise of the Method; the regrettable trend of sacrificing every other merit of film, to grant actors their most selfish wishes. ""Great acting,"" ho-hum, has killed thought in movies.<br /><br />Jack Palance's forehead & pompadour retract and thrust forward every time he reacts to something. It's disturbing.<br /><br />This is awfully boring stuff.",negative
"Well I don't know where to begin. Obviously this was a made for TV movie, so my expectations were low. I was pleasantly surprised by the overall direction of the second hour, but anything before or after that seemed to be a paint by the numbers sort of movie.<br /><br />And talk about bad chemistry between the tow lovebird detectives. ..<br /><br />I would go more in depth, but this movie doesn't really deserve it. Grade: D+ (IMDB rating 3/10)",negative
"If you love Chan-wook Park, you know what to expect. His films are brutal, poetic, tragic, and artistic, with splashes of very grim humor. THIRST is clearly Park's style, and I loved every second of it, from the cinematography (every shot is gorgeous and creative) to the story, which blends Shakespearean tragedy, murderous love, Gothic horror, and layered character drama. The characters are complex and there is plenty of moral ambiguity to go around. Even the most sociopathic character evokes sympathy. The direction is restrained and the performances are nuanced - like SYMPATHY FOR MR. VENGEANCE, there are too many subtleties to take in on the first viewing. Chan-wook Park is an intelligent, bold, consistently surprising filmmaker. It's unpredictable - scenes go from brutal and heart-wrenching to laugh-out-loud hilarious in an instant. This is closer to LADY VENGEANCE then SYMPATHY FOR MR. VENGEANCE as far as being over-the-top and comical. But, like LADY VENGEANCE, it's incredibly rich, thought-provoking, and rewarding.<br /><br />If you like beautifully told vampire stories (LET THE RIGHT ONE IN) or are a fan of Chan-wook Park, seeing THIRST should be obvious. Easily one of the best films of 2009.",positive
"Can it ever be said that there are some movies that have no redeeming features whatsoever? Answer: Yes, and this is one of them. After helming the appalling 'House of the Dead' director Uwe Boll has now cast his less-than-talented eye towards yet another video game adaptation. Don't these guys get it? To anyone who can't understand, here it is in block capitals for you: VIDEO GAMES DO NOT MAKE FOR GOOD MOVIES! The acting here is, at best, sub-standard. The set design and special effects are poor. Unlike the video game (which did have its scary moments) the movie has no atmosphere of impending doom, no sense of danger or menace. Pacing and plotting is confused and the paper that the script is printed on would have been better used as toilet paper. The main culprit is the director. Uwe Boll uses the camera with the grace and skill of a monkey using a paintbrush. Hackneyed zooms, swoops and pans are spliced into the whole dreary affair at unpredictable moments leaving the audience disorientated and bored. Why this guy was ever let near a movie set in the first place must stand as one of modern cinemas greatest secrets. Avoid at all costs.",negative
"1985 was a good year for films - maybe even great - but this one missing out on a gong went a long way to convincing fans that ol' Oscar is little more that a hood ornament for good party members.<br /><br />11 nominations and not a single title: such was the Academy's disdain for one of their greatest directors; and one who had to wait another 8 years before whatever prejudices had prevented them from handing him the statue before allowed them to give him 7 for Schindler's List, which is, arguably, not as good (and I'm half-Polish).<br /><br />Don't get me wrong, Schindler was a classic. And I'm not knocking 'Out of Africa' (which won that year) either; but it was, in my mind, a class behind this one: an epic story of suffering and hope that brought me to tears - and I'm not a big cryer.<br /><br />Maybe it was the music (superb), or the cinematography (sumptuous), but more likely simply the acting: Whoopi, who proved to all of us that she was much more than just a comedienne; Danny Glover, who I'd never heard of before; and, of course, Oprah.<br /><br />The rest is history; but, at the time: who knew?",positive
"Although many audio recordings of great musicians like Jascha Heifetz survive, the cinematic or televised record is limited indeed. This is why musical offerings like ""They Shall Have Music"" are such rare gems. While, with modern eyes and ears, one can quibble about the plot, the perceptive viewer should put this film's unique delights in their proper perspective. The plot was designed to appeal to both young and old audiences of the era, but it remains enjoyable to this day. A important aspect of the experience of watching classic films is to see them through the eyes of the moviegoer of that era.<br /><br />I must take issue with reviewer who complains about a film that is in black and white, or who feel obliged to report that their students express such reservations. These are juvenile complaints which reflect a limited historical perspective. For the teacher, this should offer up an educational opportunity to explain the unique qualities of black and white photography and its place in cinematic history. Color can, in fact, get in the way of a good storyline, or the music. For example, the black and white photography of John Ford's ""Stagecoach,"" is, like the still photographs of Ansel Adams, an artistic masterpiece.<br /><br />As for Heifetz being wooden, I could not disagree more. If you want blatant emotional posturing, go to a rock concert. The role of a classical musician like Heifetz is to move the audience, not him or herself. Heifetz's emotion is conveyed through his playing, not through his body language. He had a rare ability to extract every emotional nuance out of the music and transfer it to his listeners. It is the listener who should be moved, not the artist.<br /><br />Incidentally, one reviewer asked about seeing Heifetz on YouTube playing the 1st movement of the Tchaikovsky Violin Concerto, with Frank McHugh in the audience. This is from the 1947 film ""Carnegie Hall,"" not ""They Shall Have Music"" ""Carnegie Hall"" is an even greater treasure of many great classical artists in their prime. We are blessed that there were film producers who, at least in these limited instances, chose to showcase these artists. In was still an era not totally overwhelmed by the lowest common denominator tripe we get today.",positive
"I may be a sentimentalist. But i found this movie truly moving. It was the first movie that reduced me to tears. And it did it more than once!! I recommend it to anyone both gay and str8. Religious or not! Supporting co-star Jackie Bisset stole the show, especially with her one liners. The nude scenes were superbly crafted as well, and all in were good taste. Most shocking was the portrayal of the orientation reversal deprogramming instituted by the Mormon church to the lead character. It shocked me that this still goes on in the world. Nevertheless I enjoyed this movie tremendously. This is definitely the best gay film since Torch Song Trilogy. And much better than the other gay movie offering that year - The Fluffer.",positive
"Well, EYEboy, I must say that it pleases me to no end when someone singles me out and tries to make fun of me, especially when it is someone who seems as intelligent as you do. My favorite part of your post was ""But no big bang-bang good-guy bad-guy here, kimosabe. Me suggest you stick to movie with lotsa bang bang.""<br /><br />Well said! I do like action movies, especially if they are well done, but I also like movies that don't have a whole lot of action, as long as THEY are well done. I'm sorry, but Secret's and Lies does not fit into that category and is simply a very bad movie. I really don't see very many non-American films, so maybe I was spoiled, and didn't realize how bad foreign films really were when I saw Secrets and Lies. Perhaps if I judge foreign movies by a different standard I could some day see how Secrets and Lies could possibly be one of the highest rated movies on the IMDB. Hmm... If true, that is very scary.<br /><br />Jeremy Barger bits@midohio.net(new e-mail)",negative
"I saw the premier of this movie during the 2005 Phoenix Film Festival and was very impressed with the skill Director, Jeff Hare, exhibited in bringing this timely topic to the screen. The cast of characters meshed perfectly and allowed us to examine the issue of a senior wishing to die on ""his own terms"" in a very warm and humorous way. Peter Falk was brilliant as Morris and the supporting group of family members and friends were perfectly cast in their roles. The interaction of the family, friends and outsiders with Morris created a realistic view of how families address the issue of their parents aging and their wishes to die with dignity.<br /><br />Although this movie is ostensibly a movie about a Jewish Actor and his family, it is truly a movie about all families. The jokes the family and Morris crack during this romp through the life of a ""Force of Nature"" are fresh and realistic. Childhood rivalries, adult successes and failures, and hope for the children are integral to this screenplay. While many will question how you can make the topic of suicide ""humorous"", I thought the treatment logical and timely. If you are not afraid to shed a few tears or laugh at the quips of a family struggling with this issue, then you MUST SEE THIS MOVIE.<br /><br />The movie was awarded ""Best Picture"" at the Phoenix Film Festival.",positive
"This movie received a great write up in Blockbusters 'coming attraction' I was looking forward to the release date,08/07/02. The plot sounds reasonable, the cast alone should have guaranteed a side-splitter, but whoa there; apart from the 'off the wall betting events' this was quite a bore.<br /><br />This will never become a comedy classic, and I'm afraid it has done no help to the fine comedy reputation of John Cleese. Rowan Atkinson, now he was quite funny, in a Rowan Atkinson sort of way!",negative
"This is one of the few episodes (if not the only one) with an indisputable error in its storytelling. While handling the Ralphie situation Christopher states that he has heard about Pie-O-My's death in the fire accident. This is an important detail because in this context it is quite obvious that Christopher knows from the beginning that Tony is the one who must have killed Ralphie. There is however no way Chris could have heard about the accident. Who should have told him and when? By the time he is torn out of his delirium by Tony's call nobody else was informed. Tony knows that - which makes it even worse! Hearing Christopher talk about Pie- O-My's death could therefore only lead Tony to the conclusion that Chris himself has set the fire. Given the impressively elaborate writing process as told by the writers themselves on the DVD I really wonder none of them realized the problem there. The story just doesn't work that way. Unnecessary to add that I'm a huge fan of the Sopranos. Otherwise, I certainly wouldn't care.",negative
"I have to say this is the worst movie that I have ever watched in my life, I cannot believe that I wasted $10 at blockbuster ; this movie should be burned and who ever thought of it has issues. Who ever actually spent money to make this movie was insane =D This movie has TERRIBLE actors and some of the scenes make absolutely no sense. Well, the whole movie doesn't make sense. Also the part where those ""men"" come into the diner ( department of national securities )that happened to be the worst part of the film. How dare they say Frank Sinatra's name in vain? Also, what is up with those glasses? When the guy and girl are in the car and she ""drinks"" water, you can totally tell that she isn't even drinking! Also, what is up with the freaky dinner guy. And everyone knows that you don't stab tires, you slash them.",negative
"I enjoyed every moment of this beautiful film and was intrigued about this female painter I had never heard of before. So I set out exploring her life and work afterwards. As could be expected, I found out that the film was not exactly historically accurate. I was a little astounded however by the very negative comments on the film because of this inaccuracy. Come on, guys, a film isn't and shouldn't be a biography (nor a novel!). Any historical film distorts reality, because it should be a work of art in its own right. A film director is fully entitled to use elements from reality and history to create a world of his own. Artemisia is a wonderful film and I think it brought many people (including some that now give negative comments) to explore the life and work of this fascinating artist.",positive
"One question: Why? First off, the premise is not funny or engaging at all. They use taped interviews, and take the audio to animate ite with animals speaking the parts. First off, the interviews aren't funny or entertaining to begin with, and even if they were, I am sure they would be a lot more entertaining being viewed as they are originally, without being turned into cartoons. How does that add any hilarity to it? I turned on CBS's Monday night sitcom line-up, (which has become a regular way for me to relax after stressful Monday workdays) and found this on. Of course, the sitcom line-up would be reruns anyway, being summer, but seeing those episodes over again would have been more entertaining. I tried to give ""CC"" a chance. I really did. When it started, I figured, well, maybe it will be funny. Nope. And then it kept going. It was a long half hour.<br /><br />And I can almost see if there was a purpose, if the interviews were shown in their entirety, and had points to them. But no, it was just one-line clips, cut and pasted together really quick. It was like a horrible dreadful version of Cartoon Network's ""Robot Chicken."" I wasn't a fan of CBS' now-cancelled sitcom ""The Class."" WHile that was on, it was one half-hour of the line-up I would struggle through. But if it came down to me deciding a whole season of that or three more episodes of ""Creatures""....let's just say I'd take the ""Class."" Considering it's been a couple hours since it aired, and I come on here to see I am the first to comment...I guess that's a good sign that nobody watched it, and that it won't last much longer. Cartoon roadkill.",negative
"After reading through many of the reviews, I don't know what movie some people were watching, but clearly it wasn't the same one I saw.<br /><br />This movie is horrible. The acting, primarily Moore's, is just terrible. The woman cannot act. Nice tits, but she just can't act. At no point did she come across as the actual character. Instead, it was spoiled Hollywood actress goes to the beach to play make-believe with the boys.<br /><br />And that's what this movie ultimately is -- Hollywood make-believe. The training sequences are over the top. The politics -- over the top. The political correctness -- over the top. The combat scenes -- you guessed it, over the top. Your mission is to get in and get out without being detected. So what do you do? Why shoot off as many rounds and make as much noise as possible, of course. Oh G.I. Jane, you can be my wing man anytime.<br /><br />The premise is good, but as soon as Hollywood gets a hold of it, we end up with Top Gun with tits.<br /><br />What more is to be expected from commercial US films anymore? Not much I guess.",negative
"I was fortunate enough to see The Last Stop here where I live at the Moving Pictures Film Festival (for those of you that don't know, the Moving Pictures Film Festival is a tour of Canadian made film in Canada). I was told just before the movie started that it was the world premiere and that it was on the verge of getting an American distribution deal which added to my excitement.<br /><br />I'm a big horror movie fan, and yes, I love the Scream trilogy as well. So when I found out that Rose McGowan was doing a Ten Little Indians type of movie I knew that I was in for a treat. Rose McGowan was the biggest name actor/actress at the entire festival.<br /><br />The best way I can describe it without giving away too much of the plot is that it's not quite like Scream. And it certainly is worth seeing. It's set in the middle of a snowstorm (it was filmed in Vancouver, B.C., Canada) at a mountaintop motel, which adds to the suspense. Rose McGowan puts in a great performance as the-girl-next-door(?!) along with the rest of the cast. And as for what happens at the end, well, the only thing I'll say is that you'll never guess the ending.<br /><br />Sadly, it probably won't make it into mainstream North American theatres because the only decent money maker in it is Rose McGowan. But if you get the chance to see it I would recommend you do. And if worse comes to worst, there's always video.<br /><br />I gave it a 9 out of 10.",positive
"""9/11,"" hosted by Robert DeNiro, presents footage from outside and inside the Twin Towers in New York, on September 11, 2001.<br /><br />Never too grisly and gory, yet powerful and moving. ""9/11"" is a real treat. Anyone not moved by this television show is immune to anything.<br /><br />5/5 stars --<br /><br />",positive
"In the opening scenes of this movie a man shot arrows through his hotel room into another man's bathroom and blew out all the lights. This must have been very hep for 1936, but rather way way out and had nothing to do with the film, Robin Hood did not make an appearance as far as I could see. However, Bette Davis(Daisey Appleby),""The Whales of August"",'87 was very young and attractive and performed one of her best roles in a long career in Hollywood. Daisey never stopped teasing or being very sexy with her nightgowns and so called swim suit on her yacht with George Brent(Johnny Jones),""The Spiral Staircase"",'46. Daisey even proposed marriage to Johnny in a Ferris Wheel upside down and even got a black eye. Davis and Brent made a great couple, one suppose to be very rich and the other a very poor reporter. Off stage, Davis and Brent were having a real torrid love affair, which is good reason why there was sparks when these two appeared in this film. If you liked Bette Davis and George Brent, this is the film for you!",positive
"A surprisingly complex and well crafted study of ""The First"" serial killer in the USSR. Set in the days of perestroika this intense piece is brought to full life with the performances of Stephen Reah and Donald Sutherland.<br /><br />This examination of Cicatillo as a killer is well rounded and by hinting at some of his behaviors while out right showing others there is a subtlety that is compelling without being overtly graphic. Not for the weak of heart however as it's subject matter is often disturbing but necessary to it's full development of the main participants in this fact based story.<br /><br />HBO has furnished us with an excellent film in an unusual manner. Congrats to the director and editor of this great piece. It is in my Top 10 Must see list.",positive
"The operative rule in the making of this film seems to have been ""never make a 1 minute scene when you can make it a 10 minute scene."" This was a principle set right from the start with an interminably long portrayal of the graduation of the Harvard class of 1870. The point of that scene, I suppose, was to introduce some of the primary figures in the story and give a bit of their background - which is somewhat effective when comparing the idealism of the Harvard graduation ceremony to the realism of life in Johnson County, Wyoming, but it just keeps going and going, and that sets the stage for a film that features repeated stretches of mind-numbing nothingness, made even worse by the fact that I found a significant amount of the dialogue to be almost incoherent. In the end, I couldn't even watch this in one sitting. I got through about half of it and had to set it aside for a couple of days before I could drag myself back to see how it turned out.<br /><br />My reaction to this movie in many ways is a shame, because there are positives here. The performances are generally of a high calibre, especially from Kris Kristofersson as Averill, Christopher Walken as Champion and Isabelle Huppert as Ella. The basic story - interspersed as it is around that ever-present mind-numbing nothingness - is potentially interesting, focusing on the efforts of immigrants to establish themselves in Johnson County and a local cattle company's efforts to stop them by killing a number of them in collaboration with the government and the military. There's also some absolutely breathtaking scenery shots. Having said that, the whole thing could frankly have been done in half the time - and should have been. In the end, all those potential positives are washed out by - again - the mind-numbing nothingness that the movie seems to revolve around. Seriously - 2/10.",negative
"Why bother to see this movie? It probably rates an award for being the worst career move of a major movie star since Clark Gable's laughable playing of an Irish patriot in Parnell.<br /><br />It's inconceivable that Bergman would choose both this movie and its director over a lucrative Hollywood career where she could choose among the finest scripts and directors being offered at that time. To begin with, there was no script to work with except a few notes. Then we are supposed to believe the polished Bergman as a poor refugee willing to do anything to be released from a refugee camp, including marriage to a poor Italian fisherman she doesn't even love. I read where Anna Magnani was the original choice for this part. If so, that made a lot more sense than to cast the luminous Bergman in such a proletarian part. But since she was in love with her director, common sense flew out the window.<br /><br />So she goes to live in this poor village where the men must toil to extract a meager living from the sea. A place she obviously hates to be and where she doesn't fit in.<br /><br />Her only friend is the village priest who knows she's not suited to the life of a poor fisherman's bride, but tells her that for the sake of love she must repress her true feelings of revulsion, and accept the poverty and despair she encounters each day. On top of all of this, there's this volcano always on the brink of erupting and drowning them all in hot lava. But like a true heroine, Bergman revolts against her misery by declaring war on just about everyone else in this dreary film. She even goes as far as trying to seduce the village priest, in a scene that would generate laughter if it were not so pathetic. Since her poor slob of a husband must lock her in a room to keep her from running away, she's forced to use her body to bribe a married man to take her off the island. To her, no sacrifice is too great; no man unapproachable if he is willing to help her to escape the island and her misery. I won't bother to tell you how this all ends. The no-script movie ending is as plausible as the rest of STROMBOLI. I even remember (from seeing it on late night TV) that it had two different endings! So be warned if you should feel brave enough to sit through this king-size turkey and catch the miscast Bergman. It led to her downfall in Hollywood for the next seven years and she was condemned for sleeping with her director while still married to Peter Lindstrom. None of the movies she made with this director(whom she later married) are noteworthy except as proof of a career gone berserk. I kid you not. It's pretty embarrassing.<br /><br />- - SoundTrack",negative
"I had watched several days film shooting of this movie that summer,the end result was just two scenes in the movie. The location was Sylvan Lake in the Black Hills. Bring the wagon,stop the wagon etc . So this Dakota youth looked forward to seeing the movie and was not disappointed. The local buffalo herd was being culled so the shooting scenes were for real. (yes Doris, animals were hurt during filming) I think the ending was copied by Jack Nicholson in the Shining? A great western/social comment from the 50's. This should be in the same class as High Noon for real western drama or used as a social statement like Blackboard Jungle or Rebel Without A Cause was for 50's youth.",positive
"1 out of 10.<br /><br />This is the kind of movie that you cant believe you just wasted 2 hours of your life as you see the credits role. I honestly think I could make a better Vampire movie.... and I know nothing. The only thing that does not just suck (harder than a Vampire) is Jason Scott Lee.... his character is at least a little bit cool, has some mystery, and kicks a little butt.",negative
